Coaster,Park,City,State,Type,Design,Year_Opened,Top_Speed,Max_Height,Drop,Length,Duration,Inversions,Num_of_Inversions
Ultra Twister,Six Flags AstroWorld,Houston,Texas,Steel,Pipeline,1990,44,97,92,1421,100,Y,3
Viper,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1990,70,188,171,3830,150,Y,7
Afterburner,Fun Spot,Angola,Indiana,Steel,Sit Down,1991,45,56,47,635,66,Y,1
Anaconda,Paramounts Kings Dominion,Doswell,Virginia,Steel,Sit Down,1991,50,128,144,2700,110,Y,4
Dragon,Adventureland,Altoona,Iowa,Steel,Sit Down,1991,,90,85,2250,90,Y,2
Mean Streak,Cedar Point,Sandusky,Ohio,Wooden,Sit Down,1991,65,161,155,5427,193,N,0
Wildcat,Frontier City,Oklahoma City,Oklahoma,Wooden,Sit Down,1991,60,75,65,2653,130,N,0
Rattler,Six Flags Fiesta Texas,San Antonio,Texas,Wooden,Sit Down,1992,65,180,124,5080,,N,0
Batman The Escape,Six Flags AstroWorld,Houston,Texas,Steel,Stand Up,1993,55,90,85,2300,,Y,1
Canyon Blaster,Adventuredome,Las Vegas,Nevada,Steel,Sit Down,1993,41,94,66,2423,90,Y,4
Diamond Back,Frontier City,Oklahoma City,Oklahoma,Steel,Sit Down,1993,45,56,47,635,66,Y,1
Kumba,Busch Gardens Tampa,Tampa,Florida,Steel,Sit Down,1993,60,143,135,3978,174,Y,7
Top Gun,Paramounts Great America,Santa Clara,California,Steel,Inverted,1993,50,102,91,2260,146,Y,3
Whirlwind,Knoebels,Elysburg,Pennsylvania,Steel,Sit Down,1993,,64,48,1200,,Y,2
Comet,Great Escape,Lake George,New York,Wooden,Sit Down,1994,55,95,87,4197,120,N,0
Desperado,Buffalo Bills Resort & Casino,Primm,Nevada,Steel,Sit Down,1994,80,209,225,5843,163,N,0
Raptor,Cedar Point,Sandusky,Ohio,Steel,Inverted,1994,57,137,119,3790,136,Y,6
Cyclops,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1995,58,70,75,1900,60,N,0
Great NorEaster,Moreys Piers,Wildwood,New Jersey,Steel,Inverted,1995,55,115,95,2170,125,Y,5
Jaguar!,Knotts Berry Farm,Buena Park,California,Steel,Sit Down,1995,35,65,45,2602,120,N,0
Raven,Holiday World,Santa Claus,Indiana,Wooden,Sit Down,1995,48,80,110,2731,90,N,0
Screamer,Scandia Amusement Park,Ontario,California,Steel,Sit Down,1995,50,90,80,2600,116,N,0
Sidewinder,Six Flags Elitch Gardens,Denver,Colorado,Steel,Sit Down,1995,45,56,47,635,66,Y,1
Viper,Six Flags Great America,Gurnee,Illinois,Wooden,Sit Down,1995,50,100,80,3458,105,N,0
Great White,Moreys Piers,Wildwood,New Jersey,Wooden,Sit Down,1996,50,110,100,3300,120,N,0
Mantis,Cedar Point,Sandusky,Ohio,Steel,Stand Up,1996,60,145,137,3900,160,Y,4
Montu,Busch Gardens Tampa,Tampa,Florida,Steel,Inverted,1996,60,150,128,3983,180,Y,7
Pegasus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1996,,60,45,,,N,0
Wild Thing,Valleyfair!,Shakopee,Minnesota,Steel,Sit Down,1996,74,207,196,5460,180,N,0
Wildcat,Hersheypark,Hershey,Pennsylvania,Wooden,Sit Down,1996,50,90,85,3183,,N,0
Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Inverted,1997,67,195,170,3828,190,,
Chang,Six Flags Kentucky Kingdom,Louisville,Kentucky,Steel,Stand Up,1997,63,154,144,4155,150,Y,5
Cyclone,Williams Grove Park,Mechanicsburg,Pennsylvania,Wooden,Sit Down,1997,,65,60,2300,,N,0
Great White,SeaWorld Of Texas,San Antonio,Texas,Steel,Inverted,1997,50,108,81,2562,120,Y,5
Manhattan Express,"New York, New York Hotel & Casino",Las Vegas,Nevada,Steel,Sit Down,1997,67,203,144,4777,160,Y,2
Steel Force,Dorney Park,Allentown,Pennsylvania,Steel,Sit Down,1997,75,200,205,5600,180,N,0
Superman The Escape,Six Flags Magic Mountain,Valencia,California,Steel,Sit Down,1997,100,415,328,1235,28,N,0
Wild Thing,Wild Waves and Enchanted Village,Federal Way,Washington,Steel,Sit Down,1997,,,64,,60,Y,3
Zeus,Big Chief Carts And Coasters,Wisconsin Dells,Wisconsin,Wooden,Sit Down,1997,60,90,85,2900,85,N,0
Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,139,1137,32,Y,2
Batman And Robin; The Chiller,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1998,70,200,105,1229,48,Y,3
Excalibur,Funtown Splashtown U.S.A.,Saco,Maine,Wooden,Sit Down,1998,55,100,82,2700,118,N,0
GhostRider,Knotts Berry Farm,Buena Park,California,Wooden,Sit Down,1998,56,118,108,4533,160,N,0
Great Bear,Hersheypark,Hershey,Pennsylvania,Steel,Inverted,1998,58,90,124,2800,175,Y,4
Invertigo,Paramounts Great America,Santa Clara,California,Steel,Inverted,1998,50,161,138,1014,90,Y,3
Mamba,Worlds of Fun,Kansas City,Missouri,Steel,Sit Down,1998,75,205,205,5600,180,N,0
Riddlers Revenge,Six Flags Magic Mountain,Valencia,California,Steel,Stand Up,1998,65,156,146,4370,180,Y,6
Vapor Trail,Sesame Place,Langhorne,Pennsylvania,Steel,Sit Down,1998,27,43,56,1300,180,N,0
"Volcano, The Blast Coaster",Paramounts Kings Dominion,Doswell,Virginia,Steel,Inverted,1998,70,155,80,2757,,Y,4
Apollos Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,Steel,Sit Down,1999,73,170,210,4882,135,N,0
Dueling Dragons,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Inverted,1999,60,125,115,3200,145,Y,5
Dueling Dragons,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Inverted,1999,55,125,95,3200,145,Y,5
Face/Off,Paramounts Kings Island,Kings Mills,Ohio,Steel,Inverted,1999,50,161,138,1014,90,Y,3
Georgia Scorcher,Six Flags Over Georgia,Austell,Georgia,Steel,Stand Up,1999,54,107,101,3000,84,Y,2
Incredible Hulk,Universal Studios Islands of Adventure,Orlando,Florida,Steel,Sit Down,1999,67,110,105,3700,135,Y,7
Leap The Dips,Lakemont Park,Altoona,Pennsylvania,Wooden,Sit Down,1999,,41,9,1452,60,N,0
Medusa,Six Flags Great Adventure,Jackson,New Jersey,Steel,Sit Down,1999,61,142,132,3985,140,Y,7
Raging Bull,Six Flags Great America,Gurnee,Illinois,Steel,Sit Down,1999,73,202,208,5057,150,N,0
Silver Comet,Martins Fantasy Island,Grand Island,New York,Wooden,Sit Down,1999,50,,82,2800,105,N,0
